promedioPotencia,costo,costoEnergia
0.0,800,0.0
0.00011999999999999999,800,0.0032000640000000003
0.0003633333333333333,800,0.014533624
0.001475,800,0.07866824
0.003186,800,0.21240424800000002
0.004326666666666667,800,0.34614025600000004
0.004287142857142857,800,0.40014133600000007
0.0037662500000000005,800,0.4017413680000001
0.0035511111111111112,800,0.4261418560000001
0.003379,800,0.45054234400000004
0.0030718181818181816,800,0.45054234400000004
0.0028158333333333334,800,0.45054234400000004
0.002599230769230769,800,0.45054234400000004
