promedioPotencia,costo,costoEnergia
0.0,800,0.0
0.0033599999999999997,800,0.089601792
0.00228,800,0.091201824
0.00406,800,0.21653766400000002
0.005128,800,0.34187350400000005
0.0045516666666666665,800,0.36414061600000003
0.004854285714285715,800,0.45307572800000007
0.0042625,800,0.45467576000000004
0.004953333333333333,800,0.5944118880000001
0.0055060000000000005,800,0.7341480160000001
0.005005454545454546,800,0.7341480160000001
0.004588333333333334,800,0.7341480160000001
0.004235384615384616,800,0.7341480160000001
0.0039328571428571425,800,0.7341480160000001
0.003670666666666667,800,0.7341480160000001
0.0034412500000000003,800,0.7341480160000001
0.0032388235294117645,800,0.7341480160000001
0.003058888888888889,800,0.7341480160000001
0.0028978947368421054,800,0.7341480160000001
0.0027530000000000002,800,0.7341480160000001
0.0026219047619047624,800,0.7341480160000001
0.002502727272727273,800,0.7341480160000001
0.002393913043478261,800,0.7341480160000001
0.002294166666666667,800,0.7341480160000001
0.002386,800,0.7953492400000002
0.0025792307692307694,800,0.8941512160000001
0.002917777777777778,800,1.050421008
0.003232142857142857,800,1.2066908
